"%s and greater","%s とそれ以上"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d個</strong>の商品が検索キーワードにヒットしました"
"Advanced Search","詳細な検索"
"Advanced Search Form","詳細検索フォーム"
"Advanced Search Result","詳細検索結果"
"All","全て"
"Applies for ""Like"" search type only.","""Like""検索にのみ適用されます。"
"Apply Layered Navigation if Search Results are Less Than","検索結果が少ない場合に階層ナビゲーションを適用する検索結果件数"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","属性の設定は検索インデックスと関連しています。 <a href=""%s"">検索インデックス再構築</a>を行ってください。"
"Autogenerated Site Map","自動生成したサイトマップ"
"Catalog Advanced Search","詳細検索"
"Catalog Search","カタログ検索"
"Catalog Search Index","検索インデックス"
"Don't see what you're looking for?","お探しの商品が見つかりませんか？"
"Enter ""0"" to enable layered navigation for any number of results.","""0""を指定すると件数にかかわらず階層ナビゲーションが有効になります。"
"Go","次へ"
"Go to Home Page","ホームページへ"
"Grid","表"
"Home","ホーム"
"List","一覧"
"Maximum Query Length","検索クエリの最大長さ"
"Maximum Query Words Count","検索単語の最大文字数"
"Maximum Search query  length is %s. Your query was cut.","検索キーワードは最大%s文字まで指定可能です。検索キーワードは一部削除されています。"
"Minimal Query Length","検索クエリの最小長さ"
"Minimum Search query length is %s","%s文字以上の検索キーワードが必要です"
"Modify your search","検索条件を変更する"
"No","いいえ"
"No items were found using the following search criteria.","検索条件に該当する商品は見つかりませんでした。"
"Please specify at least one search term.","1つ以上のキーワードを指定してください。"
"Popular Search Terms","人気の検索語句"
"Quick Search Form","簡易検索フォーム"
"Rebuild Catalog product fulltext search index","商品全文検索インデックスを再構築する"
"Relevance","関連性"
"Results","結果"
"Search","検索"
"Search Settings","検索条件"
"Search Terms","検索条件"
"Search Type","検索タイプ"
"Search entire store here...","ストア全体から検索...."
"Search results for '%s'","'%s'の検索結果"
"Search results for: '%s'","'%s'の検索結果"
"Search:","検索:"
"Subscribe to Feed","フィードを購読"
"There are no search terms available.","利用できる検索キーワードがありません"
"Yes","はい"
"Your search returns no results.","検索結果はありません。"
"up to %s","最大で %s"
