"Add","追加"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options","Add gift options"
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Add gift options.","Add gift options."
"Allow Gift Messages for Order Items","注文商品ごとにギフトメッセージを許可する"
"Allow Gift Messages on Order Level","注文ごとにギフトメッセージを許可する"
"An error occurred while saving the gift message.","ギフトメッセージの保存中にエラーが発生しました。"
"Are you sure?","よろしいですか？"
"Cancel","Cancel"
"Do you have any gift items in your order?","ギフトにする商品がありますか？"
"Edit","編集"
"From","発信者"
"Gift Message","ギフトメッセージ"
"Gift Message API","Gift Message API"
"Gift Options","Gift Options"
"Gift Options for","Gift Options for"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Gift Options for this address.","Gift Options for this address."
"Item %d of %d","%d個中%dの商品"
"Message","メッセージ"
"No","いいえ"
"OK","OK"
"Save Gift Message","ギフトメッセージ"
"The gift message has been removed","ギフトメッセージを削除しました"
"The gift message has been saved","ギフトメッセージを保存しました"
"The gift message has been saved.","ギフトメッセージを保存しました。"
"To","あて先"
"Unknown entity type","不明なエンティティタイプ"
"Use config","設定を使用する"
"Yes","はい"
"You can leave this box blank if you do not wish to add a gift message for the item.","この商品にギフトメッセージを希望されない場合は空欄にしておくことができます。"
"You can leave this box blank if you do not wish to add a gift message for this address.","このお届け先にギフトメッセージを希望されない場合は空欄にしておくことができます。"
"You can leave this box blank if you do not wish to add a gift message for whole order.","ご注文全体にギフトメッセージを希望されない場合は空欄にしておくことができます。"
